NoodeID		X-Displacement		Y-Displacement		Z-Displacement
0		-6.224e-26		-4.785e-27		-1.928e-26		
1		-1.744e-05		-1.185e-06		-2.619e-05		
2		-2.281e-05		-9.065e-08		-7.180e-05		
3		-2.300e-05		-1.872e-07		-1.175e-04		
4		-2.300e-05		1.872e-07		-1.175e-04		
5		-2.281e-05		9.065e-08		-7.180e-05		
6		-1.744e-05		1.185e-06		-2.619e-05		
7		-6.224e-26		4.785e-27		-1.928e-26		
8		6.234e-26		4.718e-27		-1.862e-26		
9		1.749e-05		1.138e-06		-2.648e-05		
10		2.295e-05		3.614e-08		-7.205e-05		
11		2.355e-05		-1.591e-07		-1.196e-04		
12		2.355e-05		1.591e-07		-1.196e-04		
13		2.295e-05		-3.614e-08		-7.205e-05		
14		1.749e-05		-1.138e-06		-2.648e-05		
15		6.234e-26		-4.718e-27		-1.862e-26		

ElementID	X-NormalStress		Y-NormalStress		Z-NormalStress		XY-ShearStress		YZ-ShearStress		ZX-ShearStress
0		-6.708e+00		-3.384e+01		-2.931e+03		-5.366e-11		1.455e-11		-7.583e+04		
1		2.973e+00		8.611e+01		-5.441e+03		1.000e-11		-7.276e-12		-4.485e+04		
2		5.916e+00		-7.876e+01		-2.405e+04		8.407e-11		-8.731e-11		-3.838e+03		

NodeID		X-NormalStress		Y-NormalStress		Z-NormalStress		XY-ShearStress		YZ-ShearStress		ZX-ShearStress
0		-6.708e+00		-3.384e+01		-2.931e+03		-5.366e-11		1.455e-11		-7.583e+04		
1		-1.868e+00		2.614e+01		-4.186e+03		-2.183e-11		3.638e-12		-6.034e+04		
2		4.444e+00		3.677e+00		-1.474e+04		4.704e-11		-4.729e-11		-2.434e+04		
3		5.916e+00		-7.876e+01		-2.405e+04		8.407e-11		-8.731e-11		-3.838e+03		
4		5.916e+00		-7.876e+01		-2.405e+04		8.407e-11		-8.731e-11		-3.838e+03		
5		4.444e+00		3.677e+00		-1.474e+04		4.704e-11		-4.729e-11		-2.434e+04		
6		-1.868e+00		2.614e+01		-4.186e+03		-2.183e-11		3.638e-12		-6.034e+04		
7		-6.708e+00		-3.384e+01		-2.931e+03		-5.366e-11		1.455e-11		-7.583e+04		
8		-6.708e+00		-3.384e+01		-2.931e+03		-5.366e-11		1.455e-11		-7.583e+04		
9		-1.868e+00		2.614e+01		-4.186e+03		-2.183e-11		3.638e-12		-6.034e+04		
10		4.444e+00		3.677e+00		-1.474e+04		4.704e-11		-4.729e-11		-2.434e+04		
11		5.916e+00		-7.876e+01		-2.405e+04		8.407e-11		-8.731e-11		-3.838e+03		
12		5.916e+00		-7.876e+01		-2.405e+04		8.407e-11		-8.731e-11		-3.838e+03		
13		4.444e+00		3.677e+00		-1.474e+04		4.704e-11		-4.729e-11		-2.434e+04		
14		-1.868e+00		2.614e+01		-4.186e+03		-2.183e-11		3.638e-12		-6.034e+04		
15		-6.708e+00		-3.384e+01		-2.931e+03		-5.366e-11		1.455e-11		-7.583e+04		

