
            P L A N E   S T R E S S                           



xzy 18/12/29                                                                    


 npoin = 273     nelem = 240     nvfix =  26     ntype =   1

 nnode =   4     nmats =   1     ngaus =   2     nevab =   8

 nstre =   3     ndofn =   2     noutp = 333


 Element   Property      Node Numbers
     1        1          1    2    4    3
     2        1          2    5    6    4
     3        1         28   27    3    4
     4        1          6   29   28    4
     5        1          5    7    8    6
     6        1         30   29    6    8
     7        1          7    9   10    8
     8        1         10   31   30    8
     9        1          9   11   12   10
    10        1         32   31   10   12
    11        1         11   13   14   12
    12        1         14   33   32   12
    13        1         13   15   16   14
    14        1         34   33   14   16
    15        1         15   17   18   16
    16        1         18   35   34   16
    17        1         17   19   20   18
    18        1         36   35   18   20
    19        1         19   21   22   20
    20        1         22   37   36   20
    21        1         21   23   25   22
    22        1         38   37   22   25
    23        1         23   24   26   25
    24        1         26   39   38   25
    25        1         52   27   28   51
    26        1         28   29   50   51
    27        1         50   29   30   49
    28        1         31   48   49   30
    29        1         48   31   32   47
    30        1         32   33   46   47
    31        1         46   33   34   45
    32        1         35   44   45   34
    33        1         44   35   36   43
    34        1         36   37   42   43
    35        1         42   37   38   41
    36        1         39   40   41   38
    37        1         40   53   54   41
    38        1         54   55   42   41
    39        1         55   56   43   42
    40        1         56   57   44   43
    41        1         44   57   58   45
    42        1         58   59   46   45
    43        1         59   60   47   46
    44        1         60   61   48   47
    45        1         48   61   62   49
    46        1         62   63   50   49
    47        1         63   64   51   50
    48        1         64   65   52   51
    49        1         54   53   86   85
    50        1         55   54   85   84
    51        1         56   55   84   83
    52        1         57   56   83   82
    53        1         58   57   82   81
    54        1         59   58   81   80
    55        1         60   59   80   79
    56        1         61   60   79   78
    57        1         62   61   78   77
    58        1         63   62   77   76
    59        1         64   63   76   75
    60        1         65   64   75   74
    61        1         66   65   74   73
    62        1         67   66   73   72
    63        1         68   67   72   71
    64        1         69   68   71   70
    65        1         88   87   70   71
    66        1         72   89   88   71
    67        1         90   89   72   73
    68        1         74   91   90   73
    69        1         92   91   74   75
    70        1         76   93   92   75
    71        1         94   93   76   77
    72        1         78   95   94   77
    73        1         96   95   78   79
    74        1         80   97   96   79
    75        1         98   97   80   81
    76        1         82   99   98   81
